College,,AAU,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Howard University](https://newsroom.howard.edu/newsroom/static/14406/office-president-update-student-covid-19-vaccination-requirements)@@Howard University,Howard University,,"May 17, 2021",Private,DC,✓,✓,--,D
[Hudson Valley Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Hudson Valley Community College,Hudson Valley Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Humboldt State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@Humboldt State University,Humboldt State University,,"April 22, 2021",Public,CA,✓,✓,--,D
[Husson University](https://www.globenewswire.com/news-release/2021/05/17/2230695/0/en/Husson-University-Takes-Important-Next-Step-in-Protecting-Students-Health.html)@@Husson University,Husson University,,"May 17, 2021",Private,ME,--,✓,--,D
[Illinois Institute of Technology](https://www.iit.edu/reopening)@@Illinois Institute of Technology,Illinois Institute of Technology,,"July 21, 2021",Private,IL,✓,✓,--,D
[Illinois State University](https://news.illinoisstate.edu/2021/07/coronavirus-update-july-28-2021-new-face-covering-vaccine-and-testing-requirements/)@@Illinois State University,Illinois State University,,"July 28, 2021",Public,IL,✓,✓,--,D
[Immaculata University](https://www.immaculata.edu/coronavirus-covid-19-updates/)@@Immaculata University,Immaculata University,,--,Private,PA,✓,✓,--,D
[Indiana University at Bloomington](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at Bloomington,Indiana University at Bloomington,Y,"May 21, 2021",Public,IN,✓,✓,--,R
[Indiana University at Fort Wayne](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at Fort Wayne,Indiana University at Fort Wayne,,"May 21, 2021",Public,IN,✓,✓,--,R
[Indiana University at Kokomo](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at Kokomo,Indiana University at Kokomo,,"May 21, 2021",Public,IN,✓,✓,--,R
[Indiana University at South Bend](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at South Bend,Indiana University at South Bend,,"May 21, 2021",Public,IN,✓,✓,--,R
[Indiana University-East](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-East,Indiana University-East,,"May 21, 2021",Public,IN,✓,✓,--,R
[Indiana University-Northwest](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Northwest,Indiana University-Northwest,,"May 21, 2021",Public,IN,✓,✓,--,R
