College,,AAU,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Monroe Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Monroe Community College,Monroe Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Montclair State University](https://www.montclair.edu/redhawk-restart/2021/04/22/important-news-about-covid-19-vaccines/)@@Montclair State University,Montclair State University,,"April 22, 2021",Public,NJ,--,✓,--,D
[Morehouse College](https://www.ajc.com/education/emory-and-atlantas-to-require-students-get-covid-19-vaccine/4M3BJZVT5JFVJC6HVB6VGFX5OI/)@@Morehouse College,Morehouse College,,"April 19, 2021",Private,GA,✓,✓,--,D
[Moreno Valley College](https://www.rccd.edu/news/Pages/RCCD-Trustees-Mandate-COVID-Vaccinations.aspx)@@Moreno Valley College,Moreno Valley College,,"August 10, 2021",Public,CA,✓,✓,--,D
[Morgan State University](https://twitter.com/morganpres/status/1385566447619952643)@@Morgan State University,Morgan State University,,"April 23, 2021",Public,MD,✓,✓,--,D
[Morris Brown College](https://morrisbrown.edu/vaccine-announcement/)@@Morris Brown College,Morris Brown College,,"May 17, 2021",Private,GA,✓,✓,--,D
[Mount Holyoke College](https://www.mtholyoke.edu/president/covid-19-vaccination-mandate-employees)@@Mount Holyoke College,Mount Holyoke College,,"April 23, 2021",Private,MA,✓,✓,--,D
[Mount Saint Joseph University](https://mymount.msj.edu/ICS/Mount_Community/Wellness_Center/Default_Page.jnz?portlet=Announcements_and_Info_from_the_Wellness_Center&screen=View+Post&screenType=next&&Id=19729f54-352b-485f-a0eb-ae8eb568a752)@@Mount Saint Joseph University,Mount Saint Joseph University,,"May 11, 2021",Private,OH,--,--,✓,R
[Mount Saint Mary College](https://www.msmc.edu/covid-policy/)@@Mount Saint Mary College,Mount Saint Mary College,,--,Private,NY,--,✓,--,D
[Mount St. Mary's University](https://inside.msmary.edu/return-to-the-mount/covid-19-info/vaccine-policies.html)@@Mount St. Mary's University,Mount St. Mary's University,,"May 4, 2021",Private,MD,--,✓,--,D
[Muhlenberg College](https://www.muhlenberg.edu/offices/healthcenter/coronavirus/communications/vaccinationpolicyupdate.html)@@Muhlenberg College,Muhlenberg College,,"April 28, 2021",Private,PA,✓,✓,--,D
[Naropa University](https://www.naropa.edu/coronavirus/)@@Naropa University,Naropa University,,"April 30, 2021",Private,CO,✓,✓,--,D
[Nassau Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Nassau Community College,Nassau Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Naugatuck Valley Community College](https://www.ct.edu/covid19#faqs)@@Naugatuck Valley Community College,Naugatuck Valley Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Nazareth College](https://www2.naz.edu/covid-19-resources/health-wellness-prevention/covid-19-vaccine-requirement)@@Nazareth College,Nazareth College,,--,Private,NY,✓,✓,--,D
[Nebraska Wesleyan University](https://www.nebrwesleyan.edu/about-nwu/covid-19-coronavirus-updates)@@Nebraska Wesleyan University,Nebraska Wesleyan University,,--,Private,NE,--,✓,--,R
[Neumann University](https://www.neumann.edu/shield-our-knights)@@Neumann University,Neumann University,,"June 17, 2021",Private,PA,✓,✓,--,D
[Nevada State College](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@Nevada State College,Nevada State College,,"August 20, 2021",Public,NV,--,✓,--,D
[New England College](https://www.nec.edu/nec-to-require-covid-19-vaccination/)@@New England College,New England College,,"May 21, 2021",Private,NH,✓,✓,--,D
[New England Law-Boston](https://www.nesl.edu/docs/default-source/intranet-pdfs/covid-19-vaccination-policy.pdf)@@New England Law-Boston,New England Law-Boston,,"June 28, 2021",Private,MA,✓,✓,--,D
[New Jersey City University](https://www.njcu.edu/about/news/2021/04/student-covid-19-vaccination-requirement-and-availability)@@New Jersey City University,New Jersey City University,,"April 18, 2021",Public,NJ,--,✓,--,D
[New Jersey Institute of Technology](https://www.njit.edu/pandemicrecovery/vaccination-requirement-njit-community-members)@@New Jersey Institute of Technology,New Jersey Institute of Technology,,"April 28, 2021",Public,NJ,✓,✓,--,D
[New Mexico Highlands University](https://www.nmhu.edu/coronavirus-covid-19-information/)@@New Mexico Highlands University,New Mexico Highlands University,,--,Public,NM,--,✓,--,D
[New York Film Academy](https://www.nyfa.edu/eblast/letter-2-05-11-2021.html)@@New York Film Academy,New York Film Academy,,"May 12, 2021",For-profit,CA,✓,✓,--,D
[New York University](https://www.nyu.edu/life/safety-health-wellness/coronavirus-information/safety-and-health/covid-19-vaccine/vaccine-questions-and-support/vaccine-requirement.html)@@New York University,New York University,Y,"April 23, 2021",Private,NY,✓,✓,--,D
[Niagara County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Niagara County Community College,Niagara County Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Nicholls State University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@Nicholls State University,Nicholls State University,,"August 23, 2021",Public,LA,--,✓,--,R
[Norco College](https://www.rccd.edu/news/Pages/RCCD-Trustees-Mandate-COVID-Vaccinations.aspx)@@Norco College,Norco College,,"August 10, 2021",Public,CA,✓,✓,--,D
[Norfolk State University](https://www.nsu.edu/Coronavirus)@@Norfolk State University,Norfolk State University,,"July 23, 2021",Public,VA,✓,✓,--,D
[North Central College](https://covid.northcentralcollege.edu/2021/08/10/covid-19-vaccine-expectation/)@@North Central College,North Central College,,"August 10, 2021",Private,IL,✓,✓,--,D
[North Country Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@North Country Community College,North Country Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Northeastern Illinois University](https://www.neiu.edu/news/northeastern-require-covid-19-vaccination-fall-2021)@@Northeastern Illinois University,Northeastern Illinois University,,"August 13, 2021",Public,IL,✓,✓,--,D
[Northeastern University](https://news.northeastern.edu/2021/04/06/northeastern-to-require-covid-19-vaccinations-for-all-students-this-fall/)@@Northeastern University,Northeastern University,,"April 6, 2021",Private,MA,✓,✓,--,D
[Northern Illinois University](https://www.niu.edu/protecting-the-pack/communication/messaging/6-23-21-requiring-covid-19-vaccination-for-students-employees.html)@@Northern Illinois University,Northern Illinois University,,"June 23, 2021",Public,IL,--,✓,--,D
[Northern Maine Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Northern Maine Community College,Northern Maine Community College,,"August 12, 2021",Public,ME,--,✓,--,D
[Northern Marianas College](https://www.marianas.edu/vaccination#who-is-required-to-get-vaccinated)@@Northern Marianas College,Northern Marianas College,,--,Public,MP,--,✓,--,null
[Northwest School of Wooden Boatbuilding](https://www.nwswb.edu/news/)@@Northwest School of Wooden Boatbuilding,Northwest School of Wooden Boatbuilding,,"August 10, 2021",Private,WA,✓,✓,--,D
[Northwestern Connecticut Community College](https://www.ct.edu/covid19#faqs)@@Northwestern Connecticut Community College,Northwestern Connecticut Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Northwestern State University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@Northwestern State University,Northwestern State University,,"August 23, 2021",Public,LA,--,✓,--,R
[Northwestern University](https://www.northwestern.edu/coronavirus-covid-19-updates/health/vaccine/)@@Northwestern University,Northwestern University,Y,"May 12, 2021",Private,IL,✓,✓,--,D
[Norwalk Community College](https://www.ct.edu/covid19#faqs)@@Norwalk Community College,Norwalk Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Norwich University](https://www.norwich.edu/news/psa/3169-update-from-the-hill-may-11-2021-covid-vaccination-update)@@Norwich University,Norwich University,,"May 11, 2021",Private,VT,✓,✓,--,D
[Notre Dame of Maryland University](https://www.ndm.edu/news-and-events/news/covid-19-vaccination-required-fall)@@Notre Dame of Maryland University,Notre Dame of Maryland University,,"May 26, 2021",Private,MD,--,✓,--,D
[Nova Southeastern University](https://www.nova.edu/coronavirus/information/archive-updates.html)@@Nova Southeastern University,Nova Southeastern University,,"July 16, 2021",Private,FL,✓,--,--,R
[Oakland University](https://www.oakland.edu/return-to-campus/covid-19-vaccines/)@@Oakland University,Oakland University,,"April 6, 2021",Public,MI,✓,✓,--,D
[Occidental College](https://www.oxy.edu/covid-19/community-messages/student-vaccination-requirement)@@Occidental College,Occidental College,,"April 28, 2021",Private,CA,✓,✓,--,D
[Oglethorpe University](https://covid19.oglethorpe.edu/wp-content/uploads/sites/12/2021/06/covid-vaccine-policy-fall-2021.pdf)@@Oglethorpe University,Oglethorpe University,,"June 3, 2021",Private,GA,✓,✓,--,D
[Ohio Wesleyan University](https://www.owu.edu/about/safe-campus-guide-covid-19/safe-campus-guide-student-faq/#vaccineinfo)@@Ohio Wesleyan University,Ohio Wesleyan University,,--,Private,OH,✓,✓,--,R
[Old Dominion University](https://www.odu.edu/emergency/news/2020/2/novel_coronavirus_co/update-35)@@Old Dominion University,Old Dominion University,,"June 8, 2021",Public,VA,✓,✓,--,D
[Olin College of Engineering](https://www.olin.edu/human-resources/return-campus/)@@Olin College of Engineering,Olin College of Engineering,,--,Private,MA,✓,✓,--,D
[Onondaga Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Onondaga Community College,Onondaga Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Orange County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Orange County Community College,Orange County Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Oregon Institute of Technology](https://www.oit.edu/coronavirus)@@Oregon Institute of Technology,Oregon Institute of Technology,,"June 2, 2021",Public,OR,✓,✓,--,D
[Oregon State University](https://covid.oregonstate.edu/latest-updates/university-plans-require-vaccinations)@@Oregon State University,Oregon State University,,"May 4, 2021",Public,OR,✓,✓,--,D
[Pace University](https://pacechronicle.com/news/2021/04/26/pace-mandates-covid-19-vaccine-for-all-students-faculty-strongly-advised/)@@Pace University,Pace University,,"April 26, 2021",Private,NY,✓,✓,--,D
[Pacific Lutheran University](https://www.plu.edu/coronavirus/updates/2021/04/27/plu-expands-student-immunization-requirement-to-include-covid-19-vaccine/)@@Pacific Lutheran University,Pacific Lutheran University,,"April 27, 2021",Private,WA,✓,✓,--,D
[Pacific Northwest University](https://www.pnwu.edu/blog/2021/06/01/covid-19-plans-for-returning-to-campus-this-fall/)@@Pacific Northwest University,Pacific Northwest University,,"June 1, 2021",Private,WA,✓,✓,--,D
[Pacific University](https://www.pacificu.edu/about/media/pacific-will-require-covid-19-vaccination-students-employees)@@Pacific University,Pacific University,,"April 30, 2021",Private,OR,✓,✓,--,D
[Paul Quinn College](https://twitter.com/michaelsorrell/status/1379765937805615104?s=20)@@Paul Quinn College,Paul Quinn College,,"April 7, 2021",Private,TX,--,✓,--,R
[Pepperdine University](https://www.pepperdine.edu/coronavirus/vaccine/)@@Pepperdine University,Pepperdine University,,--,Private,CA,✓,✓,--,D
[Philadelphia College of Osteopathic Medicine](https://www.pcom.edu/coronavirus/announcements.html)@@Philadelphia College of Osteopathic Medicine,Philadelphia College of Osteopathic Medicine,,"April 14, 2021",Private,PA,--,✓,--,D
[Pitzer College](https://tsl.news/pitzer-vaccine-requirement/)@@Pitzer College,Pitzer College,,"April 13, 2021",Private,CA,--,✓,--,D
[Point Park University](https://www.pointpark.edu/studentlife/healthandstudentservices/studenthealthcenter/returntocampus/index)@@Point Park University,Point Park University,,"June 29, 2021",Private,PA,--,✓,--,D
[Pomona College](https://www.pomona.edu/coronavirus)@@Pomona College,Pomona College,,"April 14, 2021",Private,CA,--,✓,--,D
[Portland State University](https://www.pdx.edu/president/may-5-2021-message)@@Portland State University,Portland State University,,"May 5, 2021",Public,OR,✓,✓,--,D
[Post University](https://post.edu/blog/message-to-campus-community-students-families-vaccine-message/)@@Post University,Post University,,"May 6, 2021",For-profit,CT,--,✓,--,D
[Pratt Institute](https://www.pratt.edu/coronavirus/recent-communications-to-the-pratt-community/#may-11-2021-letter)@@Pratt Institute,Pratt Institute,,"May 11, 2021",Private,NY,✓,✓,--,D
[Prescott College](https://covid.prescott.edu/)@@Prescott College,Prescott College,,"June 2, 2021",Private,AZ,--,✓,--,D
[Princeton University](https://www.princeton.edu/news/2021/04/20/university-will-require-all-undergraduate-and-graduate-students-receive-covid-19)@@Princeton University,Princeton University,Y,"April 20, 2021",Private,NJ,✓,✓,--,D
[Providence College](https://www.providencejournal.com/story/news/education/2021/05/27/providence-college-require-covid-vaccinations-students/7473360002/)@@Providence College,Providence College,,"May 27, 2021",Private,RI,--,✓,--,D
[Queens University of Charlotte](https://www.queens.edu/news/2020/royal-return/vaccine-information.html)@@Queens University of Charlotte,Queens University of Charlotte,,--,Private,NC,✓,✓,--,R
[Quinebaug Valley Community College](https://www.ct.edu/covid19#faqs)@@Quinebaug Valley Community College,Quinebaug Valley Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Quinnipiac University](https://www.qu.edu/health-wellness-and-safety/covid-19-resources/vaccine-information/)@@Quinnipiac University,Quinnipiac University,,"May 26, 2021",Private,CT,✓,✓,--,D
[Radford University](https://www.radford.edu/content/radfordcore/home/reopening/fall2021-operational-plan.html)@@Radford University,Radford University,,"June 15, 2021",Public,VA,--,✓,--,D
[Ramapo College of New Jersey](https://www.ramapo.edu/health/covid-19-vaccine/)@@Ramapo College of New Jersey,Ramapo College of New Jersey,,--,Public,NJ,--,✓,--,D
[Randolph College](https://www.randolphcollege.edu/news/2021/06/randolph-to-require-covid-19-vaccine-for-students-for-fall-2021/)@@Randolph College,Randolph College,,"June 3, 2021",Private,VA,--,✓,--,D
[Randolph-Macon College](https://www.rmc.edu/campus-life/protect/covid-19-vaccine-requirement-for-fall-2021-semester)@@Randolph-Macon College,Randolph-Macon College,,"May 11, 2021",Private,VA,✓,✓,--,D
[Reed College](https://www.reed.edu/coronavirus/news-and-announcements/may-6-2021-what-you-need-to-know.html)@@Reed College,Reed College,,"May 6, 2021",Private,OR,--,✓,--,D
[Regis College](https://www.regiscollege.edu/about-regis/news/announcement-regarding-covid-19-vaccine-requirement)@@Regis College,Regis College,,"May 12, 2021",Private,MA,✓,✓,--,D
[Regis University](https://www.regis.edu/news/2021/news-releases/05/covid-vaccine)@@Regis University,Regis University,,"May 13, 2021",Private,CO,✓,✓,--,D
[Rensselaer Polytechnic Institute](https://www.timesunion.com/news/article/RPI-requires-vaccinations-in-person-classes-for-16107307.php)@@Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,,"April 16, 2021",Private,NY,✓,✓,--,D
[Rhode Island College](https://www.ric.edu/meet-rhode-island-college/health-wellness/covid-19)@@Rhode Island College,Rhode Island College,,--,Public,RI,--,✓,--,D
[Rhodes College](https://www.rhodes.edu/coronavirus-updates#tab_am-i-required-to-get-vaccinated-35548)@@Rhodes College,Rhodes College,,"August 6, 2021",Private,TN,✓,✓,--,R
[Rice University](https://coronavirus.rice.edu/news/president-planning-fall-semester)@@Rice University,Rice University,Y,"May 28, 2021",Private,TX,--,✓,--,R
[Rider University](https://www.rider.edu/about/news/rider-will-require-covid-19-vaccination-students)@@Rider University,Rider University,,"April 29, 2021",Private,NJ,--,✓,--,D
[Riverside City College](https://www.rccd.edu/news/Pages/RCCD-Trustees-Mandate-COVID-Vaccinations.aspx)@@Riverside City College,Riverside City College,,"August 10, 2021",Public,CA,✓,✓,--,D
[Rivier University](https://www.rivier.edu/student-life/health-and-wellness/health-alert-coronavirus-covoid-19/)@@Rivier University,Rivier University,,--,Private,NH,✓,✓,--,D
[Roanoke College](https://www.roanoke.edu/about/news/covid_vaccine_requirement)@@Roanoke College,Roanoke College,,"June 14, 2021",Private,VA,--,✓,--,D
[Robert Morris University](https://www.rmu.edu/about/health/recent-communications)@@Robert Morris University,Robert Morris University,,"June 30, 2021",Private,PA,--,✓,--,D
Rochester Institute of Technology,Rochester Institute of Technology,,"May 5, 2021",Private,NY,--,✓,--,D
[Rockhurst University](https://www.rockhurst.edu/covid-policies)@@Rockhurst University,Rockhurst University,,--,Private,MO,--,✓,--,R
[Rockland Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Rockland Community College,Rockland Community College,,"May 10, 2021",Public,NY,--,✓,--,D
Rocky Vista University,Rocky Vista University,,--,For-profit,CO,✓,✓,--,D
[Roger Williams University](https://turnto10.com/news/local/roger-williams-university-to-require-students-to-get-covid-vaccine-for-fall-semester)@@Roger Williams University,Roger Williams University,,"April 1, 2021",Private,RI,✓,✓,--,D
[Roosevelt University](https://blogs.roosevelt.edu/coronavirus/2021/04/26/may-5-2nd-dose-appointments-student-vaccination-requirement/)@@Roosevelt University,Roosevelt University,,"April 26, 2021",Private,IL,--,✓,--,D
[Rosalind Franklin University of Medicine and Science](https://www.rosalindfranklin.edu/covid19/updates.php#20210528)@@Rosalind Franklin University of Medicine and Science,Rosalind Franklin University of Medicine and Science,,"May 28, 2021",Private,IL,✓,✓,--,D
[Rosemont College](https://www.rosemont.edu/student-life/student-services/wellness-center/vaccination-mask-policy.php)@@Rosemont College,Rosemont College,,--,Private,PA,✓,✓,--,D
[Rowan University](https://today.rowan.edu/news/2021/05/rowan-offers-vaccination-incentives.html)@@Rowan University,Rowan University,,"May 6, 2021",Public,NJ,--,✓,--,D
[Russell Sage College](https://sites.google.com/sage.edu/covid19/updates#h.1ifew62v4anp)@@Russell Sage College,Russell Sage College,,"June 14, 2021",Private,NY,✓,✓,--,D
[Rutgers University](https://www.rutgers.edu/news/rutgers-require-covid-19-vaccine-students)@@Rutgers University,Rutgers University,Y,"March 25, 2021",Public,NJ,--,✓,--,D
[Sacramento City College](https://losrios.edu/campus-life/news/los-rios-to-implement-covid-19-vaccine-requirement)@@Sacramento City College,Sacramento City College,,"August 3, 2021",Public,CA,✓,✓,--,D
[Sacred Heart University](https://www.sacredheart.edu/offices--departments-directory/health-services/coronavirus/)@@Sacred Heart University,Sacred Heart University,,"July 23, 2021",Private,CT,✓,✓,--,D
[Saint Anselm College](https://www.anselm.edu/covid-19-response/immunization-requirements)@@Saint Anselm College,Saint Anselm College,,--,Private,NH,✓,✓,--,D
[Saint Elizabeth University](https://www.steu.edu/-/seu-announces-mandatory-student-covid-19-vaccines-for-fall-2021-050621)@@Saint Elizabeth University,Saint Elizabeth University,,"May 6, 2021",Private,NJ,--,✓,--,D
[Saint Johns University](https://www.csbsju.edu/covid-19/campus-communications/080421-vaccination-requirement)@@Saint Johns University,Saint Johns University,,"August 4, 2021",Private,MN,✓,✓,--,D
[Saint Joseph's College of Maine](https://www.sjcme.edu/highlights/fall-semester-2021-moving-toward-normal/)@@Saint Joseph's College of Maine,Saint Joseph's College of Maine,,"May 12, 2021",Private,ME,✓,✓,--,D
[Saint Joseph's University](https://www.sju.edu/hawk-hill-ahead/announcements/june-10-vaccination-requirement)@@Saint Joseph's University,Saint Joseph's University,,"June 10, 2021",Private,PA,✓,✓,--,D
[Saint Louis University](https://www.slu.edu/health-advisory/messages/slu-to-require-covid-19-vaccine.php)@@Saint Louis University,Saint Louis University,,"June 8, 2021",Private,MO,✓,✓,--,R
[Saint Martin's University](https://www.stmartin.edu/coronavirus)@@Saint Martin's University,Saint Martin's University,,--,Private,WA,✓,✓,--,D
[Saint Mary's College of California](https://www.stmarys-ca.edu/students-covid-19-vaccines-will-be-required-for-fall-2021)@@Saint Mary's College of California,Saint Mary's College of California,,"April 30, 2021",Private,CA,--,✓,--,D
[Saint Mary’s College](https://ndsmcobserver.com/2021/04/saint-marys-to-require-covid-19-vaccination-for-student-enrollment-in-2021-2022-academic-year/)@@Saint Mary’s College,Saint Mary’s College,,"April 12, 2021",Private,IN,✓,✓,--,R
[Saint Michael's College](https://www.smcvt.edu/return-to-campus/updates-and-community-messages/)@@Saint Michael's College,Saint Michael's College,,"April 23, 2021",Private,VT,--,✓,--,D
[Saint Peter's University](https://www.saintpeters.edu/?post_type=notification&p=13532)@@Saint Peter's University,Saint Peter's University,,"May 11, 2021",Private,NJ,✓,✓,--,D
[Salem College](https://www.salem.edu/readystrong/healthsafety/covid-19-vaccine)@@Salem College,Salem College,,--,Private,NC,--,✓,--,R
[Salem State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Salem State University,Salem State University,,"April 26, 2021",Public,MA,--,✓,--,D
[Salem State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Salem State University,Salem State University,,"April 26, 2021",Public,MA,--,✓,--,D
[Salisbury University](https://www.usmd.edu/newsroom/news/2154)@@Salisbury University,Salisbury University,,"April 23, 2021",Public,MD,✓,✓,--,D
[Salus University](https://www.salus.edu/Salus/media/Images/Vaccine-Requirement.pdf)@@Salus University,Salus University,,"June 17, 2021",Private,PA,✓,✓,--,D
[Salve Regina University](https://salve.edu/june-8-salve-regina-community-vaccination-status-and-returning-salve-regina)@@Salve Regina University,Salve Regina University,,"June 8, 2021",Private,RI,✓,✓,--,D
[Samuel Merritt University](https://www.samuelmerritt.edu/coronavirus)@@Samuel Merritt University,Samuel Merritt University,,"April 16, 2021",Private,CA,✓,✓,--,D
[San Diego State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@San Diego State University,San Diego State University,,"April 22, 2021",Public,CA,✓,✓,--,D
[San Francisco State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@San Francisco State University,San Francisco State University,,"April 22, 2021",Public,CA,✓,✓,--,D
[San Jose State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@San Jose State University,San Jose State University,,"April 22, 2021",Public,CA,✓,✓,--,D
[Santa Barbara City College](https://www.sbcc.edu/newsandevents/covid-19/vaccine-requirement-info/)@@Santa Barbara City College,Santa Barbara City College,,"August 5, 2021",Public,CA,✓,✓,--,D
[Santa Clara University](https://www.scu.edu/kob/vaccine-update/)@@Santa Clara University,Santa Clara University,,"April 27, 2021",Private,CA,--,✓,--,D
[Santa Monica College](https://www.smc.edu/news/presidents-messages/2021-08-04-smc-board-unanimously-approves-mandatory-vaccination-program.php)@@Santa Monica College,Santa Monica College,,"August 4, 2021",Public,CA,✓,✓,--,D
[Sarah Lawrence College](https://www.sarahlawrence.edu/covid-information/#accordion-7-1-1-1)@@Sarah Lawrence College,Sarah Lawrence College,,"April 22, 2021",Private,NY,--,✓,--,D
[Schenectady County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Schenectady County Community College,Schenectady County Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[School of the Art Institute of Chicago](https://www.saic.edu/covid19/communications)@@School of the Art Institute of Chicago,School of the Art Institute of Chicago,,"May 11, 2021",Private,IL,--,✓,--,D
[School of Visual Arts](https://sva.edu/features/reopening-sva)@@School of Visual Arts,School of Visual Arts,,"April 26, 2021",For-profit,NY,✓,✓,--,D
[Scripps College](https://www.scrippscollege.edu/news/campus-news/scripps-summer-fall-update)@@Scripps College,Scripps College,,"April 26, 2021",Private,CA,--,✓,--,D
Seattle Film Institute,Seattle Film Institute,,"April 26, 2021",For-profit,WA,✓,✓,--,D
[Seattle Pacific University](https://spu.edu/about-spu/press-room/Press/vaccination-requirements)@@Seattle Pacific University,Seattle Pacific University,,"May 7, 2021",Private,WA,✓,✓,--,D
[Seattle University](https://www.seattleu.edu/coronavirus/covid-19-vaccinations-required-for-students-attending-su-in-fall-2021.php)@@Seattle University,Seattle University,,"April 13, 2021",Private,WA,✓,✓,--,D
[Seton Hall University](https://www.shu.edu/health-intervention-communication/vaccine-requirement-and-declaration.cfm)@@Seton Hall University,Seton Hall University,,"May 14, 2021",Private,NJ,✓,✓,--,D
[Seton Hill University](https://www.setonhill.edu/student-life/counseling-disability-health-services/coronavirus-updates/)@@Seton Hill University,Seton Hill University,,"June 21, 2021",Private,PA,✓,✓,--,D
[Shaw University](https://www.shawu.edu/Archives/2021/Vaccine_Policy/)@@Shaw University,Shaw University,,--,Private,NC,--,✓,--,R
[Siena College](https://www.siena.edu/life-as-a-saint/marching-forward/mask-mandate-update-vaccination-requirements-for-fall/)@@Siena College,Siena College,,--,Private,NY,✓,✓,--,D
[Simmons University](https://www.simmons.edu/coronavirus/covid-vaccine-requirement)@@Simmons University,Simmons University,,"April 26, 2021",Private,MA,--,✓,--,D
[Skidmore College](https://www.skidmore.edu/campus-planning/messages/2021/0421-covid19-vaccinations.php)@@Skidmore College,Skidmore College,,"April 21, 2021",Private,NY,✓,✓,--,D
[Smith College](https://www.smith.edu/president-kathleen-mccartney/letters-community/2020-21/student-vaccination-against-covid-19)@@Smith College,Smith College,,"April 21, 2021",Private,MA,✓,✓,--,D
[Sonoma State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@Sonoma State University,Sonoma State University,,"April 22, 2021",Public,CA,✓,✓,--,D
[Southeastern Louisiana University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@Southeastern Louisiana University,Southeastern Louisiana University,,"August 23, 2021",Public,LA,--,✓,--,R
[Southern California Institute of Architecture](https://www.sciarc.edu/institution/covid-19-updates-and-resources)@@Southern California Institute of Architecture,Southern California Institute of Architecture,,--,Private,CA,✓,✓,--,D
[Southern Connecticut State University](https://www.ct.edu/covid19#faqs)@@Southern Connecticut State University,Southern Connecticut State University,,"June 25, 2021",Public,CT,--,✓,--,D
[Southern Maine Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Southern Maine Community College,Southern Maine Community College,,"August 12, 2021",Public,ME,--,✓,--,D
[Southern New Hampshire University](https://www.snhu.edu/about-us/covid-19)@@Southern New Hampshire University,Southern New Hampshire University,,"April 23, 2021",Private,NH,--,✓,--,D
[Southern Oregon University](https://sou.edu/campus/covid-19-and-sou/)@@Southern Oregon University,Southern Oregon University,,--,Public,OR,✓,✓,--,D
[Southwestern College](http://news.swccd.edu/2021/04/southwestern-college-to-expand-in-person-classes-fall-2021-require-vaccinations/)@@Southwestern College,Southwestern College,,"April 28, 2021",Public,CA,✓,✓,--,D
[Southwestern University](https://www.southwestern.edu/live/news/14857-student-covid-19-health-and-safety-protocols)@@Southwestern University,Southwestern University,,"July 14, 2021",Private,TX,--,✓,--,R
[Spelman College](https://www.ajc.com/education/emory-and-atlantas-to-require-students-get-covid-19-vaccine/4M3BJZVT5JFVJC6HVB6VGFX5OI/)@@Spelman College,Spelman College,,"April 19, 2021",Private,GA,✓,✓,--,D
[Springfield College](https://www.wwlp.com/news/local-news/hampden-county/springfield-college-students-required-to-be-fully-vaccinated-for-fall-semester/)@@Springfield College,Springfield College,,"May 4, 2021",Private,MA,✓,✓,--,D
[St Olaf College](https://wp.stolaf.edu/covid-19/faq/vaccines/)@@St Olaf College,St Olaf College,,--,Private,MN,✓,✓,--,D
[St. Bonaventure University](https://www.sbu.edu/news/news-items/2021/06/23/vaccines-required-for-sbu-students-this-fall)@@St. Bonaventure University,St. Bonaventure University,,"June 23, 2021",Private,NY,--,✓,--,D
[St. Catherine University](https://www.stkate.edu/newswire/news/vaccination-requirements-fall-2021-june-28-2021)@@St. Catherine University,St. Catherine University,,"June 28, 2021",Private,MN,✓,✓,--,D
[St. Edward's University](https://www.texastribune.org/2021/04/06/st-edwards-university-covid-19-vaccine/)@@St. Edward's University,St. Edward's University,,"March 29, 2021",Private,TX,✓,✓,--,R
[St. Francis College](https://www.sfc.edu/newsevents/news/details/~news-id/1192)@@St. Francis College,St. Francis College,,"June 7, 2021",Private,NY,--,✓,--,D
