College,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Baton Rouge Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Baton Rouge Community College,2021-08-25,Public,LA,--,✓,--,R
[Bossier Parish Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Bossier Parish Community College,2021-08-25,Public,LA,--,✓,--,R
[Central Louisiana Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Central Louisiana Technical Community College,2021-08-25,Public,LA,--,✓,--,R
[Delgado Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Delgado Community College,2021-08-25,Public,LA,--,✓,--,R
[Fletcher Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Fletcher Technical Community College,2021-08-25,Public,LA,--,✓,--,R
[Louisiana Delta Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Louisiana Delta Community College,2021-08-25,Public,LA,--,✓,--,R
[Louisiana State University at Alexandria](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Louisiana State University at Alexandria,2021-08-25,Public,LA,--,✓,--,R
[Louisiana State University at Eunice](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Louisiana State University at Eunice,2021-08-25,Public,LA,--,✓,--,R
[Louisiana State University at Shreveport](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Louisiana State University at Shreveport,2021-08-25,Public,LA,--,✓,--,R
[Louisiana State University Health Sciences Center-Shreveport](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Louisiana State University Health Sciences Center-Shreveport,2021-08-25,Public,LA,--,✓,--,R
[Northshore Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Northshore Technical Community College,2021-08-25,Public,LA,--,✓,--,R
[Northwest Louisiana Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Northwest Louisiana Technical Community College,2021-08-25,Public,LA,--,✓,--,R
[Nunez Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Nunez Community College,2021-08-25,Public,LA,--,✓,--,R
[River Parishes Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@River Parishes Community College,2021-08-25,Public,LA,--,✓,--,R
[South Louisiana Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@South Louisiana Community College,2021-08-25,Public,LA,--,✓,--,R
[Southern University and A&M College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Southern University and A&M College,2021-08-25,Public,LA,--,✓,--,R
[Southern University at New Orleans](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Southern University at New Orleans,2021-08-25,Public,LA,--,✓,--,R
[Southern University at Shreveport](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Southern University at Shreveport,2021-08-25,Public,LA,--,✓,--,R
[Southern University Law Center](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Southern University Law Center,2021-08-25,Public,LA,--,✓,--,R
[Sowela Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Sowela Technical Community College,2021-08-25,Public,LA,--,✓,--,R
