College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Adelphi University](https://www.adelphi.edu/news/covid-19-vaccine-required-for-adelphi-university-students/)@@Adelphi University,"July 26, 2021",Private,NY,--,--,✓,--,D
[Adler University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Adler University,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Agnes Scott College](https://www.agnesscott.edu/engaging-the-challenge-together//updates/vaccination-policy-fall-semester.html)@@Agnes Scott College,"May 7, 2021",Private,GA,✓,--,✓,--,D
[Albany College of Pharmacy and Health Sciences](https://myemail.constantcontact.com/2021-22-Campus-Update--1---Updated-Health-and-Safety-Protocols.html?soid=1101058277979&aid=qNzqeL1Mm6A)@@Albany College of Pharmacy and Health Sciences,--,Private,NY,✓,--,✓,--,D
[Albany Law School](https://www.albanylaw.edu/news/message-the-dean-fall-2021-covid-policies)@@Albany Law School,"August 13, 2021",Private,NY,✓,--,✓,--,D
[Albert Einstein College of Medicine](https://einsteinmed.org/intranet/coronavirus/vaccination/requirements/)@@Albert Einstein College of Medicine,"August 2, 2021",Private,NY,✓,--,✓,--,D
[Albertus Magnus College](https://www.albertus.edu/media-public-relations/press-releases/albertus-magnus-college-requiring-COVID-vaccination-for-fall.php)@@Albertus Magnus College,"June 29, 2021",Private,CT,✓,--,✓,--,D
[Albion College](https://www.albion.edu/albion-college-to-require-a-covid-19-vaccination-before-returning-to-campus-for-the-fall-2021-semester/)@@Albion College,"May 19, 2021",Private,MI,✓,--,✓,--,D
[Alfred University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Alfred University,"May 10, 2021",Private,NY,--,--,✓,--,D
[Allan Hancock College](https://www.hancockcollege.edu/news/newsreleases/08-11-2021%20AHC%20Vaccination%20Mandate.php)@@Allan Hancock College,"August 11, 2021",Public,CA,✓,--,✓,--,D
[Allegheny College](https://sites.allegheny.edu/covid19/2021/05/18/covid-19-vaccine-to-be-required-for-allegheny-students/)@@Allegheny College,"May 18, 2021",Private,PA,--,--,✓,--,D
[Alvernia University](https://www.alvernia.edu/current-students/health-wellness-center/health-alerts)@@Alvernia University,"May 24, 2021",Private,PA,--,--,✓,--,D
[Alverno College](https://www.alverno.edu/welcoming-you-back-to-campus)@@Alverno College,--,Private,WI,✓,--,✓,--,D
[Ambria College of Nursing](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Ambria College of Nursing,"August 26, 2021",For-profit,IL,✓,--,✓,--,D
[American Academy of Art](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@American Academy of Art,"August 26, 2021",Private,IL,✓,--,✓,--,D
[American Baptist College](https://abcnash.edu/covid19/)@@American Baptist College,"July 26, 2021",Private,TN,--,--,✓,--,R
[American International College](https://www.aic.edu/reopening-2021-2022/)@@American International College,"June 11, 2021",Private,MA,✓,--,✓,--,D
[American Jewish University](https://www.aju.edu/about-aju/covid-19-planning-and-preparation)@@American Jewish University,"June 21, 2021",Private,CA,--,--,✓,--,D
[American River College](https://losrios.edu/campus-life/news/los-rios-to-implement-covid-19-vaccine-requirement)@@American River College,"August 3, 2021",Public,CA,✓,--,✓,--,D
[American University](https://www.american.edu/media/pr/20210524_vaccine_community_update.cfm)@@American University,"April 14, 2021",Private,DC,✓,--,✓,--,D
[Amherst College](https://www.amherst.edu/amherst-story/president/statements/node/800628)@@Amherst College,"April 23, 2021",Private,MA,✓,--,✓,--,D
[Anna Maria College](https://www.masslive.com/worcester/2021/04/anna-maria-college-in-paxton-will-require-students-to-be-vaccinated-against-covid-to-return-to-campus-in-the-fall.html)@@Anna Maria College,"April 29, 2021",Private,MA,✓,--,✓,--,D
[Antioch University at Seattle](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Antioch University at Seattle,"August 20, 2021",Private,WA,✓,--,--,--,D
[Arcadia University](https://www.arcadia.edu/announcements/2021/08/17/aug-17-2021-presidential-message-covid-vaccine-requirement-update)@@Arcadia University,"August 17, 2021",Private,PA,✓,--,✓,--,D
[Arizona State University](https://www.azcentral.com/story/news/local/arizona-education/2021/10/15/asu-ua-nau-arizona-universities-mandate-covid-19-vaccinations-all-employees/8469609002/)@@Arizona State University,"October 15, 2021",Public,AZ,✓,--,--,--,D
[Asnuntuck Community College](https://www.ct.edu/covid19#faqs)@@Asnuntuck Community College,"June 25, 2021",Public,CT,--,--,✓,--,D
[Assumption University](https://www.assumption.edu/news-and-events/news/fall-2021-easing-safety-protocols)@@Assumption University,"April 16, 2021",Private,MA,✓,--,✓,--,D
[Auburn University](https://ocm.auburn.edu/newsroom/campus_notices/2021/10/221530-vaccine-mandate.php)@@Auburn University,"October 22, 2021",Public,AL,✓,--,--,--,R
[Augsburg University](https://drive.google.com/file/d/1BTALtRZBsDhowtUh3FEprNCxn84AyBJZ/view)@@Augsburg University,"July 21, 2021",Private,MN,✓,--,✓,--,D
[Augustana College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Augustana College,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Aurora University](https://aurora.edu/student-life/campus-services/wellness/coronavirus/faq.html)@@Aurora University,"August 18, 2021",Private,IL,✓,--,✓,--,D
[Austin Presbyterian Theological Seminary](https://www.austinseminary.edu/about/coronavirus-update)@@Austin Presbyterian Theological Seminary,"June 7, 2021",Private,TX,✓,--,✓,--,R
[Averett University](https://www.averett.edu/student-life/campus-security/livesafe/)@@Averett University,--,Private,VA,✓,--,✓,--,D
[Babson College](https://www.babson.edu/emergency-preparedness/return-to-campus/#)@@Babson College,--,Private,MA,--,--,✓,--,D
[Bakersfield College](https://do-prod-webteam-drupalfiles.s3-us-west-2.amazonaws.com/kccdedu/s3fs-public/KCCD%20RESOLUTION%20NO.%20R-4-21_FINAL081221%20-%20OK%20to%20Post.pdf)@@Bakersfield College,"August 12, 2021",Public,CA,✓,--,✓,--,D
[Bank Street College of Education](https://graduate.bankstreet.edu/covid-19-vaccination-policy/)@@Bank Street College of Education,--,Private,NY,--,--,✓,--,D
[Bard College](https://www.bard.edu/covid19/)@@Bard College,"May 5, 2021",Private,NY,✓,--,✓,--,D
[Barnard College](https://barnard.edu/news/student-vaccination-requirement-fall-2021)@@Barnard College,"April 19, 2021",Private,NY,✓,--,✓,--,D
[Bastyr University](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Bastyr University,"August 20, 2021",Private,WA,✓,--,--,--,D
[Bates College](https://www.bates.edu/academic-year-2020-21/2021/05/11/covid-19-vaccination-requirements-for-fall-2021-semester/)@@Bates College,"May 11, 2021",Private,ME,--,--,✓,--,D
[Bates Technical College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Bates Technical College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Baton Rouge Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Baton Rouge Community College,"August 25, 2021",Public,LA,--,--,✓,--,R
[Bay Path University](https://www.baypath.edu/about/the-path-forward/june-4-upload-your-covid-vaccination-card-instructions/)@@Bay Path University,"June 4, 2021",Private,MA,✓,--,✓,--,D
[Bellarmine University](https://www.bellarmine.edu/welcome-back/)@@Bellarmine University,--,Private,KY,✓,--,✓,--,R
[Bellevue College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Bellevue College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Bellingham Technical College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Bellingham Technical College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Beloit College](https://www.beloit.edu/live/blurbs/1071-community-care-college-is-requiring-vaccines-for)@@Beloit College,"May 21, 2021",Private,WI,✓,--,✓,--,D
[Benedictine University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Benedictine University,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Bennett College](https://www.bennett.edu/bc/back-to-bennett-fall-2021/)@@Bennett College,--,Private,NC,--,--,✓,--,R
[Bennington College](https://www.bennington.edu/news-and-features/planning-fall-covid-vaccinations)@@Bennington College,"April 16, 2021",Private,VT,--,--,✓,--,D
[Bentley University](https://www.bentley.edu/news/COVID-19-vaccination-requirements)@@Bentley University,"May 17, 2021",Private,MA,✓,--,✓,--,D
[Berea College](https://www.courier-journal.com/story/news/local/2021/05/03/covid-19-vaccines-berea-college-kentucky-require-students-shots/4871589001/?gnt-cfr=1)@@Berea College,"April 29, 2021",Private,KY,--,--,✓,--,R
[Berkeley City College](https://safe.peralta.edu/updates/campusstatus8-3-21)@@Berkeley City College,"August 5, 2021",Public,CA,✓,--,✓,--,D
[Berklee College of Music](https://www.berklee.edu/berklee-now/news/berklee-to-require-students-to-be-fully-vaccinated-against-covid-19-ahead-of-fall-2021-semester)@@Berklee College of Music,"April 28, 2021",Private,MA,✓,--,✓,--,D
[Berkshire Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Berkshire Community College,"September 20, 2021",Public,MA,✓,--,✓,--,D
[Bethany College](https://www.bethanywv.edu/about-bethany/bethany-college-requiring-students-to-get-covid-19-vaccination/)@@Bethany College,"June 23, 2021",Private,WV,--,--,✓,--,R
[Bexley Hall Seabury Western Theological Seminary Federation](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Bexley Hall Seabury Western Theological Seminary Federation,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Big Bend Community College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Big Bend Community College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Binghamton University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Binghamton University,"May 10, 2021",Public,NY,--,--,✓,--,D
[Black Hawk College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Black Hawk College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Blackburn College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Blackburn College,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Blessing Rieman College of Nursing and Health Sciences](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Blessing Rieman College of Nursing and Health Sciences,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Bossier Parish Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Bossier Parish Community College,"August 25, 2021",Public,LA,--,--,✓,--,R
