College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[University of New Hampshire](https://www.unh.edu/president/update-federal-government-covid-19-vaccine-requirement)@@University of New Hampshire,2021-10-22,Public,NH,✓,--,--,--,D
[University of North Carolina at Chapel Hill](https://carolinatogether.unc.edu/2021/10/25/covid-19-update-federal-vaccine-requirement-for-employees/)@@University of North Carolina at Chapel Hill,2021-10-25,Public,NC,--,✓,--,--,R
[University of Oklahoma](https://www.oklahoman.com/story/news/education/2021/10/29/oklahoma-university-vaccine-mandate-ou-osu-employees/6184641001/)@@University of Oklahoma,2021-10-29,Public,OK,✓,--,--,--,R
[University of Pittsburgh-Bradford](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Bradford,2021-11-01,Public,PA,✓,--,✓,--,D
[University of Pittsburgh-Greensburg](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Greensburg,2021-11-01,Public,PA,✓,--,✓,--,D
[University of Pittsburgh-Johnstown](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Johnstown,2021-11-01,Public,PA,✓,--,✓,--,D
[University of Pittsburgh-Pittsburgh Campus](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Pittsburgh Campus,2021-11-01,Public,PA,✓,--,✓,--,D
[University of Pittsburgh-Titusville](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Titusville,2021-11-01,Public,PA,✓,--,✓,--,D
[University of Southern Mississippi](https://mississippitoday.org/2021/10/25/ihl-covid-vaccine-federal-order/)@@University of Southern Mississippi,2021-10-25,Public,MS,✓,--,--,--,R
[University of Tulsa](https://www.newson6.com/story/61798d9fceb47c0bfa0edc91/university-of-tulsa-to-require-employees-to-be-vaccinated-against-covid19-by-dec-8)@@University of Tulsa,2021-10-27,Private,OK,✓,--,--,--,R
[University of Wisconsin-Madison](https://news.wisc.edu/83638-2/)@@University of Wisconsin-Madison,2021-11-11,Public,WI,✓,--,--,--,D
[Wichita State University](https://www.wichita.edu/about/COVID-19/announcements.php#oct2221)@@Wichita State University,2021-10-22,Public,KS,✓,--,--,--,R
